sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,yroverchange
9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2019,1,0,0
9999,130286.75,20093,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2019,1,0.011120871,
9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2019,1,0,0
74,105164.8333,6045,45.5230622,-122.6764816,"BikeTown (Portland, OR)",2019,1,0.003345726,
74,106540.7833,7361,45.5230622,-122.6764816,"BikeTown (Portland, OR)",2019,1,1,
74,54195.5,3505,45.5230622,-122.6764816,"BikeTown (Portland, OR)",2019,1,1,
73,376082,21497,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2019,1,0.011897942,
73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2019,1,0,0
73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2019,1,0,0
60,1201452.567,105217,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,1,0.058234442,
60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,1,0,0
60,0,0,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2019,1,0,0
58,0,0,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2019,1,0,0
58,0,0,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2019,1,0,0
58,10075.56667,854,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2019,1,0.000472663,
56,0,0,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2019,1,0,0
56,1809625.533,151125,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2019,1,0.083643138,
56,0,0,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2019,1,0,0
54,45231.66,1560,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2019,1,0.000863413,
54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2019,1,0,0
54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2019,1,0,0
53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2019,1,0,0
53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2019,1,0,0
53,169364,9647,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2019,1,0.005339324,
43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2019,1,0,0
43,410739,30490,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2019,1,0.016875297,
43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2019,1,0,0
4,0,0,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2019,1,0,0
4,4419965.233,395916,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2019,1,0.219127588,
4,0,0,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2019,1,0,0
29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2019,1,0,0
29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2019,1,0,0
29,23071,1653,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2019,1,0.000914886,
25,0,0,44.977753,-93.2650108,"Nice Ride Minnesota (Minneapolis, MN)",2019,1,0,0
25,0,0,44.977753,-93.2650108,"Nice Ride Minnesota (Minneapolis, MN)",2019,1,0,0
