the_geom,sysid,sum_min,num_trip,lat,lng,sysname,year,assigned_month,pct_ttl_num_trips,bin_num_trip,mar_ind,sysorder,may_ind,dateStr,dateTxt,display,sysname_alt,yroverchange,yroverchange_bin,trip_type
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,9,,,0,11,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,9999
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,3,,,1,9,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,9999
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,12,,,0,11,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,2
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,3,,,0,7,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,9999
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,7,,,1,5,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
POINT (-71.0588801 42.3600825),1,6965569.683,392311,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,8,0.072043261,3,1,5,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",-0.057311816,-1,1
POINT (-122.410143 37.773833),42,3666180.333,311504,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,12,0.090830972,3,1,2,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",0.377409884,2,1
POINT (-122.410143 37.773833),42,4246467.967,326710,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,8,0.059996415,3,1,2,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.082032896,-1,1
POINT (-74.039894 40.724851),9999,405998.7833,50635,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,2,0.019434777,1,1,6,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",0.703505585,3,1
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,12,,,0,10,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,1
POINT (-71.0588801 42.3600825),1,2672004.65,194346,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,12,0.056669051,3,1,5,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",0.234130915,1,1
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,1,,,0,12,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,9999
POINT (-74.039894 40.724851),9999,454489.6667,60463,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,12,0.017630313,1,1,6,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",0.250579135,2,1
POINT (-118.2436849 34.0522342),73,823633,43026,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,11,0.010640392,1,1,9,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",0.712682111,3,1
POINT (-77.0368707 38.9071923),56,464470.4167,38077,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2023,12,0.293017207,4,0,3,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",3.747163695,4,2
POINT (-82.9987942 39.9611755),58,32656.46667,1743,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,3,0.000640008,1,1,8,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.024089307,1,1
POINT (-118.2436849 34.0522342),73,980009,45206,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,8,0.008301546,1,1,9,1,07/30/23 through 08/26/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",0.568345823,3,1
POINT (-122.410143 37.773833),42,1122149.567,82212,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,4,0.433928006,4,1,2,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.074876781,-1,2
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,10,,,0,13,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,9999
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,7,,,1,6,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,2
POINT (-82.9987942 39.9611755),58,8868.766667,517,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,4,0.002728808,1,1,8,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.081589958,1,2
POINT (-87.6297982 41.8781136),60,300880.15,30500,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,1,0.349209984,4,1,4,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",1.120411568,4,2
POINT (-87.6297982 41.8781136),60,261778.5333,25864,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,2,0.28832605,4,1,4,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",1.035253384,4,2
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,5,,,1,5,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,2
POINT (-79.9849659685496 40.4454577489795),29,211651.8,8791,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,5,0.00190778,1,0,11,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",1.320137239,4,1
POINT (-77.0368707 38.9071923),56,388252.85,27355,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2023,9,0.24047506,4,0,3,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",2.47718317,4,9999
POINT (-122.410143 37.773833),42,2764544.367,229726,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,3,0.084352524,3,1,2,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.154293582,-1,1
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,5,,,0,12,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-74.039894 40.724851),9999,0,0,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,6,,,1,6,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",,,2
POINT (-79.9849659685496 40.4454577489795),29,223449.9333,23885,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,11,0.005906795,1,0,11,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",2.631594952,4,1
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,10,,,1,1,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,2
POINT (-79.9849659685496 40.4454577489795),29,265338.1667,11552,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,6,0.00236621,1,0,11,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",0.604667315,3,1
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,12,,,0,7,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,2
POINT (-87.6297982 41.8781136),60,119834.45,12201,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,3,0.390007672,4,1,4,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",-0.512739617,-3,9999
POINT (-122.410143 37.773833),42,405245.7667,28228,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,10,0.315030579,4,1,2,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.032691385,-1,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,2,,,0,10,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,1
POINT (-118.2436849 34.0522342),73,1029947,51396,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,9,0.008017536,1,1,9,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",0.3878058,2,1
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,2,,,0,7,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,2
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,6,,,0,12,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,9999
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,1,,,1,1,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,1,,,0,10,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,2
POINT (-77.0368707 38.9071923),56,7294898.8,443562,38.9071923,-77.0368707,"Capital Bikeshare (Washington, DC)",2023,7,0.070379744,3,0,3,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Washington, DC Metro (Capital Bikeshare)",0.089682992,1,1
POINT (-118.2436849 34.0522342),73,0,0,34.0522342,-118.2436849,"Metro Bike Share (Los Angeles, CA)",2023,12,,,1,9,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Los Angeles, CA (Metro Bike Share)",,,2
POINT (-82.9987942 39.9611755),58,1194.05,101,39.9611755,-82.9987942,"CoGo (Columbus, OH)",2023,1,0.003291403,1,1,8,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Columbus, OH (CoGo)",0.53030303,3,9999
POINT (-122.410143 37.773833),42,471699.7,33654,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,9,0.295848937,4,1,2,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",-0.118451383,-1,9999
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,9,,,1,1,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
POINT (-87.6297982 41.8781136),60,399593.7333,35100,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,10,0.391723584,4,1,4,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",-0.024864565,-1,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,4,,,0,10,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,9999
POINT (-72.673371 40.909849),3,0,0,40.909849,-72.673371,"CitiBike (New York, NY)",2023,3,,,1,1,1,02/26/23 through 03/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",,,9999
POINT (-87.6297982 41.8781136),60,637546.2,46866,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,6,0.529625151,4,1,4,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",0.235168542,1,9999
POINT (-71.0588801 42.3600825),1,7725416.55,482534,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,9,0.075273054,3,1,5,1,08/27/23 through 09/30/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",-0.302879878,-2,1
POINT (-87.6297982 41.8781136),60,1041348.85,81951,41.8781136,-87.6297982,"Divvy (Chicago, IL)",2023,5,0.446833221,4,1,4,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chicago, IL (Divvy)",0.133219022,1,2
POINT (-74.039894 40.724851),9999,911667.3,91114,40.724851,-74.039894,"CitiBike (Jersey City, NJ)",2023,4,0.018585488,1,1,6,1,03/26/23 through 04/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Jersey City, NJ (CitiBike)",0.340286256,2,1
POINT (-75.1652215 39.9525839),43,0,0,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,7,,,0,7,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",,,2
POINT (-71.0588801 42.3600825),1,0,0,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,6,,,1,5,1,05/28/23 through 06/24/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",,,9999
POINT (-85.3096801 35.0456297),54,0,0,35.0456297,-85.3096801,"Bike Chattanooga (Chattanooga, TN)",2023,12,,,0,10,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Chattanooga, TN (Bike Chattanooga)",,,9999
POINT (-79.9849659685496 40.4454577489795),29,0,0,40.44545775,-79.98496597,"Healthy Ride, now POGOH (Pittsburgh, PA)",2023,1,,,0,11,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Pittsburgh, PA (Healthy Ride, now POGOH)",,,9999
POINT (-75.1652215 39.9525839),43,1429178,95023,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,5,0.020621427,1,0,7,1,04/30/23 through 05/27/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",0.189437845,1,1
POINT (-71.0588801 42.3600825),1,2118556.867,159261,42.3600825,-71.0588801,"Blue Bikes (Boston, MA)",2023,2,0.06112772,3,1,5,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Boston Metro, MA (Blue Bikes)",0.511287614,3,1
POINT (-97.7492916839957 30.2703327863944),53,0,0,30.27033279,-97.74929168,"MetroBike Austin (Austin, TX)",2023,12,,,0,12,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Austin, TX (MetroBike Austin)",,,2
POINT (-75.1652215 39.9525839),43,655312,52262,39.9525839,-75.1652215,"Indego (Philadelphia, PA)",2023,1,0.019757475,1,0,7,1,12/28/22 through 01/28/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"Philadelphia, PA (Indego)",0.437506876,2,1
POINT (-72.673371 40.909849),3,55724739.2,4092159,40.909849,-72.673371,"CitiBike (New York, NY)",2023,7,0.649300664,4,1,1,1,06/25/23 through 07/29/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"New York, NY (CitiBike)",0.075902894,1,1
POINT (-122.410143 37.773833),42,2999392.333,248644,37.773833,-122.410143,"Bay Wheels (San Francisco, CA)",2023,2,0.095434794,3,1,2,1,01/29/23 through 02/25/23,2023 period corresponding to 2020 and 2019 beginning to end of month,0,"San Francisco, CA (Bay Wheels)",0.019567642,1,1
