sysid,sum_min,num_trip,pct_ttl_num_trips,yroverchange,year,assigned_month
9999,0,0,0,0,2019,1
9999,130286.75,20093,0.011120871,,2019,1
9999,0,0,0,0,2019,1
74,105164.8333,6045,0.003345726,,2019,1
74,106540.7833,7361,1,,2019,1
74,54195.5,3505,1,,2019,1
73,376082,21497,0.011897942,,2019,1
73,0,0,0,0,2019,1
73,0,0,0,0,2019,1
60,1201452.567,105217,0.058234442,,2019,1
60,0,0,0,0,2019,1
60,0,0,0,0,2019,1
58,0,0,0,0,2019,1
58,0,0,0,0,2019,1
58,10075.56667,854,0.000472663,,2019,1
56,0,0,0,0,2019,1
56,1809625.533,151125,0.083643138,,2019,1
56,0,0,0,0,2019,1
54,45231.66,1560,0.000863413,,2019,1
54,0,0,0,0,2019,1
54,0,0,0,0,2019,1
53,0,0,0,0,2019,1
53,0,0,0,0,2019,1
53,169364,9647,0.005339324,,2019,1
43,0,0,0,0,2019,1
43,410739,30490,0.016875297,,2019,1
43,0,0,0,0,2019,1
4,0,0,0,0,2019,1
4,4419965.233,395916,0.219127588,,2019,1
4,0,0,0,0,2019,1
29,0,0,0,0,2019,1
29,0,0,0,0,2019,1
29,23071,1653,0.000914886,,2019,1
25,0,0,0,0,2019,1
25,0,0,0,0,2019,1
25,0,0,0,0,2019,1
3,0,0,0,0,2019,1
3,0,0,0,0,2019,1
3,10985386.5,990657,0.548298827,,2019,1
1,864330.1,72029,0.039865883,,2019,1
1,0,0,0,0,2019,1
1,0,0,0,0,2019,1
9999,0,0,0,0,2019,2
9999,0,0,0,0,2019,2
9999,127831.15,18552,0.010674246,,2019,2
74,39261.8,2590,0.984790875,,2019,2
74,75889,5524,0.996212804,,2019,2
74,66592.36667,4141,0.002382603,,2019,2
73,573,21,0.003787196,,2019,2
73,294160,17782,0.010231212,,2019,2
73,247,40,0.015209125,,2019,2
60,1063214.85,99607,0.057310783,,2019,2
60,0,0,0,0,2019,2
60,0,0,0,0,2019,2
58,0,0,0,0,2019,2
58,0,0,0,0,2019,2
58,11088.63333,919,0.000528764,,2019,2
56,2058437.867,160506,0.092350181,,2019,2
56,0,0,0,0,2019,2
56,0,0,0,0,2019,2
54,41012.22,1567,0.000901603,,2019,2
54,0,0,0,0,2019,2
54,0,0,0,0,2019,2
53,0,0,0,0,2019,2
53,0,0,0,0,2019,2
53,172521,10206,0.005872216,,2019,2
43,0,0,0,0,2019,2
43,0,0,0,0,2019,2
43,398830,28602,0.016456705,,2019,2
4,4003916.267,370554,0.213205295,,2019,2
4,0,0,0,0,2019,2
4,0,0,0,0,2019,2
29,0,0,0,0,2019,2
29,29920,1916,0.001102407,,2019,2
29,0,0,0,0,2019,2
25,0,0,0,0,2019,2
25,0,0,0,0,2019,2
25,0,0,0,0,2019,2
3,0,0,0,0,2019,2
3,0,0,0,0,2019,2
3,10957410.58,943384,0.542793934,,2019,2
1,0,0,0,0,2019,2
1,0,0,0,0,2019,2
1,992612.2167,80279,0.04619005,,2019,2
9999,0,0,0,0,2019,3
9999,0,0,0,0,2019,3
9999,165468.0333,22156,0.009583526,,2019,3
9999,102780.7833,14842,,,2019,3
9999,0,0,0,0,2019,3
9999,0,0,0,0,2019,3
9999,62687.25,7314,,,2019,3
9999,0,0,0,0,2019,3
9999,0,0,0,0,2019,3
74,73819.38333,4085,0.940161105,,2019,3
74,224599.1833,9570,0.004139481,,2019,3
74,167767.5,9678,0.95556872,,2019,3
74,162788.8167,7221,,,2019,3
74,54883.96667,3121,,,2019,3
74,124999.5167,7386,,,2019,3
74,42767.98333,2292,,,2019,3
74,61810.36667,2349,,,2019,3
74,18935.41667,964,,,2019,3
73,3787,260,0.059838895,,2019,3
73,14142,450,0.04443128,,2019,3
73,317025,19802,0.008565309,,2019,3
73,202780,12492,,,2019,3
73,10180,314,,,2019,3
73,3116,179,,,2019,3
73,3962,136,,,2019,3
73,671,81,,,2019,3
73,114245,7310,,,2019,3
60,0,0,0,0,2019,3
60,0,0,0,0,2019,3
60,1964268.717,154504,0.066830343,,2019,3
60,1223813.167,101690,,,2019,3
60,0,0,0,0,2019,3
60,0,0,0,0,2019,3
60,0,0,0,0,2019,3
60,0,0,0,0,2019,3
60,740455.55,52814,,,2019,3
58,0,0,0,0,2019,3
58,0,0,0,0,2019,3
58,25827.96667,1540,0.000666123,,2019,3
58,0,0,0,0,2019,3
58,0,0,0,0,2019,3
58,19360.3,1137,,,2019,3
58,6467.666667,403,,,2019,3
58,0,0,0,0,2019,3
58,0,0,0,0,2019,3
56,0,0,0,0,2019,3
56,3629523.283,233816,0.101136562,,2019,3
56,0,0,0,0,2019,3
56,3629523.283,233816,,,2019,3
56,0,0,0,0,2019,3
56,0,0,0,0,2019,3
56,0,0,0,0,2019,3
56,0,0,0,0,2019,3
56,0,0,0,0,2019,3
54,0,0,0,0,2019,3
54,0,0,0,0,2019,3
54,171550.81,5270,0.002279526,,2019,3
54,171550.81,5270,,,2019,3
54,0,0,0,0,2019,3
54,0,0,0,0,2019,3
54,0,0,0,0,2019,3
54,0,0,0,0,2019,3
54,0,0,0,0,2019,3
53,0,0,0,0,2019,3
53,0,0,0,0,2019,3
53,265982,14369,0.006215277,,2019,3
53,0,0,0,0,2019,3
53,265982,14369,,,2019,3
53,0,0,0,0,2019,3
53,0,0,0,0,2019,3
53,0,0,0,0,2019,3
53,0,0,0,0,2019,3
43,0,0,0,0,2019,3
43,0,0,0,0,2019,3
43,576064,36872,0.015948897,,2019,3
43,0,0,0,0,2019,3
43,0,0,0,0,2019,3
43,576064,36872,,,2019,3
43,0,0,0,0,2019,3
43,0,0,0,0,2019,3
43,0,0,0,0,2019,3
4,0,0,0,0,2019,3
4,0,0,0,0,2019,3
4,5494430.833,472034,0.204177199,,2019,3
4,3475762.133,304434,,,2019,3
4,0,0,0,0,2019,3
4,0,0,0,0,2019,3
4,0,0,0,0,2019,3
4,2018668.7,167600,,,2019,3
4,0,0,0,0,2019,3
29,0,0,0,0,2019,3
29,72288,3261,0.001410538,,2019,3
29,0,0,0,0,2019,3
29,72288,3261,,,2019,3
29,0,0,0,0,2019,3
29,0,0,0,0,2019,3
29,0,0,0,0,2019,3
29,0,0,0,0,2019,3
29,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
25,0,0,0,0,2019,3
3,0,0,0,0,2019,3
3,0,0,0,0,2019,3
